MRU.A.TO,2010-01-26,2010:Q1
MFL.TO,2010-02-26,2009:A
MTL.TO,2010-02-25,2009:A
NAEu.TO,2010-03-10,2009:A
NA.TO,2010-02-25,2010:Q1
NGD.TO,2010-03-04,2009:A
NXY.TO,2010-02-18,2009:A
NKO.TO,2009-11-12,2010:Q2
NWFu.TO,2010-03-18,2010:Q4
NGX.TO,2010-03-09,2009:A
NPIu.TO,2010-02-25,2009:A
NG.TO,2010-02-11,2009:A
NVA.TO,2010-03-08,2009:A
OCX.TO,2010-02-25,2009:A
OTC.TO,2010-02-03,2010:Q2
OSK.TO,2010-02-16,2009:A
PRE.TO,2010-03-15,2009:A
PAA.TO,2010-02-15,2009:A
PMTu.TO,2010-03-09,2009:A
PSI.TO,2010-02-24,2009:A
PIFu.TO,2010-03-04,2009:A
PGFu.TO,2010-03-08,2009:A
PWTu.TO,2010-02-18,2009:A
PBN.TO,2010-03-04,2009:A
PBG.TO,2010-03-16,2009:A
PEYu.TO,2010-03-10,2009:A
POT.TO,2010-01-28,2009:A
POW.TO,2010-03-11,2009:A
PWF.TO,2010-03-11,2009:A
PDu.TO,2010-02-12,2009:A
PMZu.TO,2010-03-09,2009:A
PRQ.TO,2010-02-24,2009:A
PVEu.TO,2010-03-11,2009:A
QUA.TO,2010-03-08,2009:A
QBR.B.TO,2010-03-10,2009:A
RBI.TO,2010-02-26,2009:A
RET.A.TO,2010-03-29,2010:Q4
RIM.TO,2010-03-31,2010:Q4
REIu.TO,2010-02-09,2009:A
RBA.TO,2010-03-04,2009:A
RCI.B.TO,2010-02-17,2009:A
RON.TO,2010-02-25,2009:A
RY.TO,2010-03-03,2010:Q1
RMX.TO,2010-03-31,2009:A
RUS.TO,2010-02-18,2009:A
SAP.TO,2009-11-03,2010:Q2
SVY.TO,2010-03-10,2009:A
SCC.TO,2010-02-23,2010:A
SMF.TO,2010-03-17,2009:A
SJR.B.TO,2010-01-14,2010:Q1
SCL.A.TO,2010-03-03,2009:A
S.TO,2010-02-24,2009:A
SC.TO,2010-02-11,2009:A
SSO.TO,2010-03-04,2009:A
SLW.TO,2010-03-04,2009:A
SVM.TO,2010-05-12,2010:Q4
TRE.TO,2010-03-16,2009:A
SNC.TO,2010-03-05,2009:A
STN.TO,2010-02-25,2009:A
SLF.TO,2010-02-11,2009:A
SU.TO,2010-02-02,2009:A
SPB.TO,2010-02-18,2009:A
SXC.TO,2010-03-04,2009:A
TLM.TO,2010-02-10,2009:A
TKO.TO,2010-03-18,2009:A
TCK.B.TO,2010-02-08,2009:A
T.TO,2010-02-12,2009:A
TCM.TO,2010-02-25,2009:A
TRI.TO,2010-02-24,2009:A
THI.TO,2010-05-13,2010:Q1
X.TO,2010-02-10,2009:A
TIH.TO,2010-02-08,2009:A
TD.TO,2010-03-04,2010:Q1
TA.TO,2010-02-24,2009:A
TRZ.B.TO,2009-12-16,2009:A
TRP.TO,2010-02-23,2009:A
TCL.A.TO,2009-12-15,2009:A
TFI.TO,2010-02-25,2009:A
TCW.TO,2010-03-04,2009:A
TDG.TO,2010-03-03,2009:A
UUU.TO,2010-03-10,2009:A
UTS.TO,2010-03-24,2009:A
VETu.TO,2010-03-03,2009:A
VT.TO,2010-01-21,2009:A
WFT.TO,2010-02-12,2009:A
WTN.TO,2009-11-13,2010:Q2
WJA.TO,2010-02-17,2009:A
WTEu.TO,2010-03-30,2009:A
YRI.TO,2010-03-03,2009:A
YLOu.TO,2010-02-11,2009:A
AAV.TO,2010-03-16,2009:Q4
ARE.TO,2010-03-02,2009:Q4
AGF.B.TO,2010-01-27,2009:Q4
AEM.TO,2010-02-17,2009:Q4
AGU.TO,2010-02-09,2009:Q4
AGI.TO,2010-03-16,2009:Q4
ATD.B.TO,2009-08-25,2010:Q1
ALAu.TO,2010-02-26,2009:Q4
AETu.TO,2010-02-09,2009:Q4
ACM.A.TO,2009-10-27,2009:A
ACO.X.TO,2010-02-18,2009:Q4
ATP.TO,2010-03-29,2009:Q4
ARZ.TO,2010-03-19,2009:Q4
BMO.TO,2009-11-24,2009:A
BNS.TO,2009-12-08,2009:Q4
BNK.TO,2010-03-22,2009:Q4
ABX.TO,2010-02-18,2009:Q4
BTEu.TO,2010-03-11,2009:Q4
BCE.TO,2010-02-04,2009:Q4
BAu.TO,2010-02-03,2009:Q4
BVF.TO,2010-02-25,2009:Q4
BIR.TO,2010-02-19,2009:Q4
BEIu.TO,2010-02-18,2009:Q4
BBD.B.TO,2009-12-03,2010:Q3
BNPu.TO,2010-03-04,2009:Q4
